CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
23140,"Frankfort, IN",4413,34452,608
46900,"Vernon, TX",3491,13410,301
44740,"Storm Lake, IA",4615,20506,558
10260,"Adjuntas, PR",18486,18570,0
20580,"Eagle Pass, TX",51914,54258,763
46740,"Valley, AL",543,34422,540
31020,"Longview, WA",8065,104938,2193
23500,"Gaffney, SC",1853,50152,941
41820,"Sanford, NC",12586,74079,1345
31060,"Los Alamos, NM",2646,17950,364
29500,"Lamesa, TX",7232,13535,273
43260,"Sheridan, WY",1016,29373,1151
33420,"Mineral Wells, TX",5617,29780,629
18380,"Cordele, GA",741,23201,507
27580,"Jayuya, PR",16722,16784,0
32420,"Mayagüez, PR",106961,108005,0
22340,"Fitzgerald, GA",1053,18687,346
17640,"Coco, PR",31487,31706,0
24460,"Great Bend, KS",3698,27945,972
25820,"Hereford, TX",13284,19542,420
16340,"Cedartown, GA",5045,47471,612
19700,"Deming, NM",15423,25095,406
17620,"Coamo, PR",40075,40248,0
47660,"Warrensburg, MO",1596,51108,1087
39020,"Portsmouth, OH",880,79523,1278
18020,"Columbus, IN",4513,76606,1715
11420,"Angola, IN",976,34928,972
36220,"Odessa, TX",72913,139898,3556
14580,"Bozeman, MT",2506,90516,4763
35700,"Nogales, AZ",39199,47545,1119
38620,"Ponca City, OK",3094,49450,1131
14340,"Boone, IA",375,24310,524
34220,"Moultrie, GA",7212,44828,864
29380,"Lake City, FL",3302,67194,1325
46620,"Uvalde, TX",18328,26774,596
23860,"Georgetown, SC",1696,53135,1413
46820,"Vermillion, SD",287,14011,323
42180,"Santa Isabel, PR",23160,23263,0
18100,"Columbus, NE",4483,32881,1020
18860,"Crescent City, CA",5093,28596,448
32980,"Merrill, WI",386,32141,716
17060,"Chillicothe, OH",748,78935,1230
